score,input_string,translated_string,translated_CER,translated_WER,target_CER,target_CER_sum,target_WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,trans_CER,trans_WER
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,"flak, ljern glam glam glom blitt hjel flak i atte jo no",,,"[0.75, 0.75, 0.75, 0.8, 0.3333333333333333, 0.8333333333333334, 0.6666666666666666, 0.75, 0.75, 0.6666666666666666]",7.05,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",2,words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,0.5862068965517241,1.2
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,plag for alt blod blod blod blod og det er ikke det er ikke for flast her,,,"[0.6, 0.75, 0.5, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.6, 0.75, 0.6666666666666666, 0.8333333333333334]",6.366666666666667,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",7,words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,0.7543859649122807,1.7
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,"vi har å bli loppse glittet hes seg siste, siste, siste, snal, smart, frik, fjell,",,,"[0.6, 0.5, 0.6, 0.8, 0.8333333333333334, 0.6666666666666666, 0.75, 0.75, 0.5, 0.5]",6.5,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",5,words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,0.9310344827586207,1.5
3,skjerf skjema svart kran turn trylle troll tre tralle skjære,halt! hva? gland! gland! gland! gland! gland! gland!,,,"[0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6, 0.75, 0.6666666666666666, 0.8, 0.75]",7.233333333333333,1.0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",-2,words_30_40.wav,../3x10_Concatenations/3x10_score_3_sorted,0.8166666666666667,1.0
3,mus løpe kurv skip kropp skilpadde sjiraff pluss plaster hjerne,når vikører påkører påklopsyll på måsyll på måsyll påbløspostetjærne,,,"[0.6666666666666666, 0.75, 0.75, 0.6666666666666666, 0.75, 0.8571428571428571, 0.8, 0.75, 0.8571428571428571, 0.75]",7.597619047619047,1.0,"['d19', 'd18']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd18']",-1,words_40_50.wav,../3x10_Concatenations/3x10_score_3_sorted,0.7936507936507936,1.0
3,garn horn hus barn fortau drikke sky skjerf kvart skjære,gårn hvor? hvor? hvor? hvor? hvor? hvor? hvor? hvor?,,,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.75, 0.6, 0.5, 0.75, 0.75, 0.75]",6.766666666666667,1.0,['d18'],"['d18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18']",-1,words_50_60.wav,../3x10_Concatenations/3x10_score_3_sorted,0.6607142857142857,1.0
3,pluss prins hjørne drue sky svart svømme ugle kvern sjakk,bløsig brings pjånne hæ geru deg hæ sva sva med kla tva en sva,,,"[0.75, 0.8, 0.75, 0.5, 0.5, 0.75, 0.8, 0.75, 0.75, 0.6666666666666666]",7.016666666666667,1.0,"['d18', 'd17']","['d18', 'd18', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17']",4,words_60_70.wav,../3x10_Concatenations/3x10_score_3_sorted,0.6140350877192983,1.4
3,horn grønn glass karneval jus enhjørning dyne dykke drue sky,un grann klaft karnval ryus en annen inn din du ikke du røver,,,"[0.6666666666666666, 0.75, 0.5, 0.8571428571428571, 0.6666666666666666, 0.7142857142857143, 0.5, 0.75, 0.5, 0.0]",5.904761904761905,0.9,['d16'],"['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16']",3,words_70_80.wav,../3x10_Concatenations/3x10_score_3_sorted,0.48333333333333334,1.3
3,svømme skjerf lys kurv plaster skjære skive sjakk prins hjørne,så vemmet kjørif litt gør dottet sjære jjør jjør prin jørene,,,"[0.8, 0.5, 0.3333333333333333, 0.75, 0.8571428571428571, 0.75, 0.75, 0.3333333333333333, 0.8, 0.75]",6.623809523809524,1.0,"['d15', 'd16']","['d16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd16', 'd15']",1,words_80_90.wav,../3x10_Concatenations/3x10_score_3_sorted,0.5,1.1
3,horn korn fortau flagg drue smør skjorte turn grave grønn,hvorfor ten slange? det er du det smell stortet tudet gjerne gjerne,,,"[0.6666666666666666, 0.6666666666666666, 0.75, 0.5, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6, 0.5]",6.6,1.0,"['d15', 'd14']","['d15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd15', 'd14', 'd14']",2,words_90_100.wav,../3x10_Concatenations/3x10_score_3_sorted,0.7017543859649122,1.2
3,gris glør glitter glass hus frø krakk fregner brun bror,gis gudet deg gudet deg dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette dette,,,"[0.75, 0.75, 0.6666666666666666, 0.75, 0.6666666666666666, 0.3333333333333333, 0.75, 0.6666666666666666, 0.75, 0.5]",6.583333333333333,1.0,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",139,words_100_110.wav,../3x10_Concatenations/3x10_score_3_sorted,15.8,14.9
3,bro blomst bart frakk drops kran krone søster smør skulder,det er jo prømst fjok djup fjong jonga sistig snøj skulelej,,,"[0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.75, 0.8, 0.75, 0.8, 0.8333333333333334, 0.75, 0.7142857142857143]",7.564285714285714,1.0,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",1,words_110_120.wav,../3x10_Concatenations/3x10_score_3_sorted,0.6206896551724138,1.1
3,ugle trylle troll tre trapp tralle kropp skjerf plaster øre,uttere tiene tjon tja tja tjon tja tja tja da sjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj,,,"[0.5, 0.8, 0.75, 0.6666666666666666, 0.5, 0.6, 0.75, 0.75, 0.7142857142857143, 0.6666666666666666]",6.697619047619048,1.0,['d14'],"['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14']",1,words_120_130.wav,../3x10_Concatenations/3x10_score_3_sorted,7.491525423728813,1.1
3,lys kurv lytte plystre sjiraff skjære rund rød prins hus,"lise, kjø, litte, pristig, svilt, seg gjør, gjør, gjør, gjør, gjør,",,,"[0.3333333333333333, 0.75, 0.75, 0.7142857142857143, 0.8, 0.75, 0.6666666666666666, 0.5, 0.8, 0.6666666666666666]",6.730952380952381,1.0,"['d14', 'd13']","['d14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13']",1,words_130_140.wav,../3x10_Concatenations/3x10_score_3_sorted,0.7678571428571429,1.1
3,kjerne huske by børste drops søster sky kropp ugle turn,sal priske bier tastet røps røps røps røps skjer kjer kjer i kjøs i kjøs,,,"[0.5, 0.8, 0.5, 0.8, 0.8, 0.8333333333333334, 0.5, 0.75, 0.75, 0.6666666666666666]",6.9,1.0,['d13'],"['d13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13', 'd13']",5,words_140_150.wav,../3x10_Concatenations/3x10_score_3_sorted,0.9272727272727272,1.5
3,syk kurv rød grå glorie horn koffert kikkert bror drue,seg kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kredet kred,,,"[0.6666666666666666, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.8, 0.75, 0.75]",6.566666666666666,1.0,"['d12', 'd13']","['d13', 'd13', 'd13', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12']",139,words_150_160.wav,../3x10_Concatenations/3x10_score_3_sorted,18.574074074074073,14.9
3,søster trapp løve kvart skjære rød premie port hjørne frukt,søstig frapp løver kvart sade rø pive i hjemme fukt bjerne fikt,,,"[0.8333333333333334, 0.75, 0.75, 0.75, 0.5, 0.0, 0.8333333333333334, 0.6666666666666666, 0.75, 0.8]",6.633333333333334,0.9,"['d11', 'd12']","['d12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd12', 'd11', 'd11']",2,words_160_170.wav,../3x10_Concatenations/3x10_score_3_sorted,0.423728813559322,1.1
3,glorie glør horn hund bror blad fortau stjerne start sky,"i løbret gløver kund, jøbret, platt, fort av stjern, størt, skj",,,"[0.8333333333333334, 0.75, 0.6666666666666666, 0.6666666666666666, 0.5, 0.5, 0.5, 0.8333333333333334, 0.75, 0.5]",6.5,1.0,['d11'],"['d11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11']",1,words_170_180.wav,../3x10_Concatenations/3x10_score_3_sorted,0.5,1.1
3,svart turn trapp mus lytte lyn kvern ku port gul,såd tid drop nys lysk lysk lid i hjem kvann kj kjøl,,,"[0.75, 0.6666666666666666, 0.5, 0.6666666666666666, 0.75, 0.3333333333333333, 0.75, 0.5, 0.6666666666666666, 0.6666666666666666]",6.25,1.0,"['d10', 'd11']","['d11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd11', 'd10']",2,words_180_190.wav,../3x10_Concatenations/3x10_score_3_sorted,0.7708333333333334,1.2
3,gris glør kran kort huske kikkert artist blad by erter,jeg gør ikke gør ikke gør ikke du sker ikke jeg er det ikke bra ut du blir jeg er det ikke,,,"[0.5, 0.75, 0.75, 0.6666666666666666, 0.8, 0.6, 0.8, 0.5, 0.0, 0.75]",6.116666666666667,0.9,['d10'],"['d10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10']",12,words_190_200.wav,../3x10_Concatenations/3x10_score_3_sorted,1.0740740740740742,2.2
3,stjerne smykke mus kvart kurv kropp skitten skip glad glør,serne smikke nys kvart kvart krop sjettet sjip og kval,,,"[0.8333333333333334, 0.8, 0.6666666666666666, 0.5, 0.5, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.75]",6.883333333333334,1.0,"['d10', 'd09']","['d10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09']",0,words_200_210.wav,../3x10_Concatenations/3x10_score_3_sorted,"[0.2857142857142857, 0.16666666666666666, 0.6666666666666666, 0.0, 0.75, 0.2, 0.42857142857142855, 0.25, 1.0, 1.0]",0.9
3,grå krabbe kort klem kikkert jern fjorten briller bart krykke,grød hva er det? jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er jeg er,,,"[0.6666666666666666, 0.6, 0.6666666666666666, 0.75, 0.8, 0.6666666666666666, 0.8, 0.6666666666666666, 0.6666666666666666, 0.8]",7.083333333333334,1.0,['d09'],"['d09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09']",284,words_210_220.wav,../3x10_Concatenations/3x10_score_3_sorted,16.42622950819672,29.4
3,brun flagg flue enhjørning sølv sport søle smart skjorte kvern,rien,,,"[0.75, 0.75, 0.75, 0.8571428571428571, 0.6666666666666666, 0.75, 0.25, 0.5, 0.75, 0.75]",6.773809523809524,1.0,['d09'],"['d09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd09']",-9,words_220_230.wav,../3x10_Concatenations/3x10_score_3_sorted,0.9354838709677419,1.0
3,tralle tårn plaster ørn skitten skip gutt garn hjerte gris,det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en lød det er en,,,"[0.8, 0.6666666666666666, 0.8571428571428571, 0.5, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5, 0.75]",6.823809523809524,1.0,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08']",245,words_230_240.wav,../3x10_Concatenations/3x10_score_3_sorted,14.724137931034482,25.5
3,grønn glør koffert huske klappe krabbe klem jus buss brun,nå! nå! nå! nå! nå! nå! nå! nå! nå! nå! nå! nå! nå! nå!,,,"[0.5, 0.75, 0.8, 0.8, 0.8, 0.8, 0.75, 0.6666666666666666, 0.3333333333333333, 0.75]",6.95,1.0,['d08'],"['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08']",4,words_240_250.wav,../3x10_Concatenations/3x10_score_3_sorted,0.8947368421052632,1.4
3,blomst bleie frakk fortid fortau enhjørning dyne krakk krone start,bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra! bra!,,,"[0.6666666666666666, 0.75, 0.75, 0.8, 0.75, 0.7142857142857143, 0.75, 0.75, 0.8, 0.75]",7.480952380952381,1.0,['d08'],"['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08']",212,words_250_260.wav,../3x10_Concatenations/3x10_score_3_sorted,16.46969696969697,22.2
3,søt søster sølv smør smerte skjorte stupe ugle turn troll,hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva? hva?,,,"[0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.75, 0.8, 0.75, 0.8, 0.5, 0.6666666666666666, 0.75]",7.183333333333334,1.0,['d08'],"['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08']",138,words_260_270.wav,../3x10_Concatenations/3x10_score_3_sorted,12.789473684210526,14.8
